Date, Deaths per 1000 People, Annual % Change,Country
31/12/1966,8.409,-3.86,Malaysia
31/12/1967,8.071,-4.02,Malaysia
31/12/1968,7.733,-4.19,Malaysia
31/12/1969,7.542,-2.47,Malaysia
31/12/1970,7.351,-2.53,Malaysia
31/12/1971,7.161,-2.58,Malaysia
31/12/1972,6.97,-2.67,Malaysia
31/12/1973,6.779,-2.74,Malaysia
31/12/1974,6.654,-1.84,Malaysia
31/12/1975,6.529,-1.88,Malaysia
31/12/1976,6.405,-1.9,Malaysia
31/12/1977,6.28,-1.95,Malaysia
31/12/1978,6.155,-1.99,Malaysia
31/12/1979,6.025,-2.11,Malaysia
31/12/1980,5.895,-2.16,Malaysia
31/12/1981,5.764,-2.22,Malaysia
31/12/1982,5.634,-2.26,Malaysia
31/12/1983,5.504,-2.31,Malaysia
31/12/1984,5.415,-1.62,Malaysia
31/12/1985,5.326,-1.64,Malaysia
31/12/1986,5.236,-1.69,Malaysia
31/12/1987,5.147,-1.7,Malaysia
31/12/1988,5.058,-1.73,Malaysia
31/12/1989,4.987,-1.4,Malaysia
31/12/1990,4.916,-1.42,Malaysia
31/12/1991,4.845,-1.44,Malaysia
31/12/1992,4.774,-1.47,Malaysia
31/12/1993,4.703,-1.49,Malaysia
31/12/1994,4.682,-0.45,Malaysia
31/12/1995,4.662,-0.43,Malaysia
31/12/1996,4.641,-0.45,Malaysia
31/12/1997,4.621,-0.43,Malaysia
31/12/1998,4.6,-0.45,Malaysia
31/12/1999,4.578,-0.48,Malaysia
31/12/2000,4.556,-0.48,Malaysia
31/12/2001,4.534,-0.48,Malaysia
31/12/2002,4.512,-0.49,Malaysia
31/12/2003,4.49,-0.49,Malaysia
31/12/2004,4.51,0.45,Malaysia
31/12/2005,4.53,0.44,Malaysia
31/12/2006,4.551,0.46,Malaysia
31/12/2007,4.571,0.44,Malaysia
31/12/2008,4.591,0.44,Malaysia
31/12/2009,4.621,0.65,Malaysia
31/12/2010,4.651,0.65,Malaysia
31/12/2011,4.682,0.67,Malaysia
31/12/2012,4.712,0.64,Malaysia
31/12/2013,4.742,0.64,Malaysia
31/12/2014,4.804,1.31,Malaysia
31/12/2015,4.867,1.31,Malaysia
31/12/2016,4.929,1.27,Malaysia
31/12/2017,4.992,1.28,Malaysia
31/12/2018,5.054,1.24,Malaysia
31/12/2019,5.139,1.68,Malaysia
31/12/2020,5.223,1.63,Malaysia
31/12/2021,5.308,,Malaysia
